CountryISO,CountryName,Admin1ISO,Admin1Name,Admin2Name,CityName
US,UNITED STATES OF AMERICA,US-IN,INDIANA,HUNTINGTON COUNTY,HUNTINGTON
US,UNITED STATES OF AMERICA,US-IN,INDIANA,KNOX COUNTY,VINCENNES
US,UNITED STATES OF AMERICA,US-IN,INDIANA,LAKE COUNTY,EAST CHICAGO
US,UNITED STATES OF AMERICA,US-IN,INDIANA,LAKE COUNTY,GARY
US,UNITED STATES OF AMERICA,US-IN,INDIANA,LAKE COUNTY,HAMMOND
US,UNITED STATES OF AMERICA,US-IN,INDIANA,LAPORTE COUNTY,LAPORTE
US,UNITED STATES OF AMERICA,US-IN,INDIANA,LAPORTE COUNTY,MICHIGAN CITY
US,UNITED STATES OF AMERICA,US-IN,INDIANA,LAWRENCE COUNTY,BEDFORD
US,UNITED STATES OF AMERICA,US-IN,INDIANA,MADISON COUNTY,ANDERSON
US,UNITED STATES OF AMERICA,US-IN,INDIANA,MADISON COUNTY,ELWOOD
US,UNITED STATES OF AMERICA,US-IN,INDIANA,MARION COUNTY,INDIANAPOLIS
US,UNITED STATES OF AMERICA,US-IN,INDIANA,MIAMI COUNTY,PERU
US,UNITED STATES OF AMERICA,US-IN,INDIANA,MONROE COUNTY,BLOOMINGTON
US,UNITED STATES OF AMERICA,US-IN,INDIANA,MONTGOMERY COUNTY,CRAWFORDSVILLE
US,UNITED STATES OF AMERICA,US-IN,INDIANA,PERRY COUNTY,TELL CITY
US,UNITED STATES OF AMERICA,US-IN,INDIANA,SHELBY COUNTY,SHELBYVILLE
US,UNITED STATES OF AMERICA,US-IN,INDIANA,TIPPECANOE COUNTY,LAFAYETTE
US,UNITED STATES OF AMERICA,US-IN,INDIANA,VANDERBURGH COUNTY,EVANSVILLE
US,UNITED STATES OF AMERICA,US-IN,INDIANA,VIGO COUNTY,TERRE HAUTE
US,UNITED STATES OF AMERICA,US-IN,INDIANA,WAYNE COUNTY,BOSTON
US,UNITED STATES OF AMERICA,US-IN,INDIANA,WAYNE COUNTY,RICHMOND
US,UNITED STATES OF AMERICA,US-IN,INDIANA,WHITE COUNTY,MONTICELLO
US,UNITED STATES OF AMERICA,US-KS,KANSAS,ALLEN COUNTY,IOLA
US,UNITED STATES OF AMERICA,US-KS,KANSAS,ATCHISON COUNTY,ATCHISON
US,UNITED STATES OF AMERICA,US-KS,KANSAS,BOURBON COUNTY,FORT SCOTT
US,UNITED STATES OF AMERICA,US-KS,KANSAS,CHEROKEE COUNTY,COLUMBUS
US,UNITED STATES OF AMERICA,US-KS,KANSAS,CHEROKEE COUNTY,GALENA
US,UNITED STATES OF AMERICA,US-KS,KANSAS,CHEROKEE COUNTY,LOWELL
US,UNITED STATES OF AMERICA,US-KS,KANSAS,COWLEY COUNTY,ARKANSAS CITY
US,UNITED STATES OF AMERICA,US-KS,KANSAS,CRAWFORD COUNTY,PITTSBURG
US,UNITED STATES OF AMERICA,US-KS,KANSAS,DICKINSON COUNTY,ABILENE
US,UNITED STATES OF AMERICA,US-KS,KANSAS,DOUGLAS COUNTY,LAWRENCE
US,UNITED STATES OF AMERICA,US-KS,KANSAS,FRANKLIN COUNTY,PEORIA
US,UNITED STATES OF AMERICA,US-KS,KANSAS,HARVEY COUNTY,NEWTON
